"Downloaded on",03/18/2023,"10:12:28 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%22118%22%2C%22type%22%3A%5B%22bills%22%2C%22joint-resolutions%22%5D%2C%22bill-status%22%3A%5B%22introduced%22%2C%22committee%22%2C%22floor%22%5D%7D&pageSize=100&page=25

"Legislation Number",URL,Congress,Title,"Amends Bill",Sponsor,"Date Offered","Date of Introduction","Number of Cosponsors","Date Submitted","Date Proposed",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Latest Summary"
"H.R. 414",https://www.congress.gov/bill/118th-congress/house-bill/414,"118th Congress (2023-2024)","Investing in Rural Manufacturing Act",,"Finstad, Brad [Rep.-R-MN-1]",,01/20/2023,5,,,"House - Small Business, Appropriations","Referred to the Committee on Small Business, and in addition to the Committee on Appropriations, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",01/20/2023,"Craig, Angie [Rep.-D-MN-2]","Amodei, Mark E. [Rep.-R-NV-2]","Johnson, Bill [Rep.-R-OH-6]","Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]","Peltola, Mary Sattler [Rep.-D-AK-At Large]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><strong></strong><b>Investing in Rural Manufacturing Act</b></p> <p>This bill authorizes the Small Business Administration to make loans for certain costs to businesses that manufacture goods essential to critical infrastructure sectors in rural areas. Businesses that meet at least 75% of their job creation goals under such loans may receive partial loan forgiveness.</p>"
"H.R. 413",https://www.congress.gov/bill/118th-congress/house-bill/413,"118th Congress (2023-2024)","TOTS Act",,"Edwards, Chuck [Rep.-R-NC-11]",,01/20/2023,5,,,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",01/20/2023,"Davis, Donald G. [Rep.-D-NC-1]","Nickel, Wiley [Rep.-D-NC-13]","LaMalfa, Doug [Rep.-R-CA-1]","Gimenez, Carlos A. [Rep.-R-FL-28]","Moore, Barry [Rep.-R-AL-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Transparency Over Toys Spying Act or the TOTS Act</b></p> <p>This bill requires the Federal Trade Commission to issue rules requiring internet-connected toys to include a label indicating that the toy has the ability to connect to the internet and collect and transmit personal information of the user. The label must also indicate whether personal information collected by the toy is retained in the toy or by the manufacturer or another entity. Further, any user agreement or privacy policy associated with the toy must prominently state specified information about how personal information may be collected and used by the manufacturer or other entity.</p> <p>Internet-connected toys include entertainment devices that are targeted to, or likely to be operated by, children and are able to connect to the internet and collect and transmit personal information.</p> <p>The bill also authorizes the commission to enforce these rules.</p>"
"H.R. 412",https://www.congress.gov/bill/118th-congress/house-bill/412,"118th Congress (2023-2024)","To designate the facility of the United States Postal Service located at 620 East Pecan Boulevard in McAllen, Texas, as the ""Agent Raul H. Gonzalez Jr. Memorial Post Office"".",,"De La Cruz, Monica [Rep.-R-TX-15]",,01/20/2023,74,,,"House - Oversight and Accountability","Referred to the House Committee on Oversight and Accountability.",01/20/2023,"Jackson Lee, Sheila [Rep.-D-TX-18]","Yakym, Rudy [Rep.-R-IN-2]","Cammack, Kat [Rep.-R-FL-3]","Fischbach, Michelle [Rep.-R-MN-7]","Bice, Stephanie I. [Rep.-R-OK-5]","Wagner, Ann [Rep.-R-MO-2]","Smith, Adrian [Rep.-R-NE-3]","Pfluger, August [Rep.-R-TX-11]","Hunt, Wesley [Rep.-R-TX-38]","Granger, Kay [Rep.-R-TX-12]","Cloud, Michael [Rep.-R-TX-27]","Lee, Laurel M. [Rep.-R-FL-15]","Babin, Brian [Rep.-R-TX-36]","Chavez-DeRemer, Lori [Rep.-R-OR-5]","Ciscomani, Juan [Rep.-R-AZ-6]","Crenshaw, Dan [Rep.-R-TX-2]","Cuellar, Henry [Rep.-D-TX-28]","D'Esposito, Anthony [Rep.-R-NY-4]","Duarte, John S. [Rep.-R-CA-13]","Ellzey, Jake [Rep.-R-TX-6]","Fry, Russell [Rep.-R-SC-7]","Gimenez, Carlos A. [Rep.-R-FL-28]","Gonzales, Tony [Rep.-R-TX-23]","Gosar, Paul A. [Rep.-R-AZ-9]","Green, Mark E. [Rep.-R-TN-7]","Hageman, Harriet M. [Rep.-R-WY-At Large]","Houchin, Erin [Rep.-R-IN-9]","Langworthy, Nicholas A. [Rep.-R-NY-23]","Lawler, Michael [Rep.-R-NY-17]","Luna, Anna Paulina [Rep.-R-FL-13]","Luttrell, Morgan [Rep.-R-TX-8]","McCormick, Richard [Rep.-R-GA-6]","Miller, Max L. [Rep.-R-OH-7]","Molinaro, Marcus J. [Rep.-R-NY-19]","Moran, Nathaniel [Rep.-R-TX-1]","Nehls, Troy E. [Rep.-R-TX-22]","Ogles, Andrew [Rep.-R-TN-5]","Self, Keith [Rep.-R-TX-3]","Sessions, Pete [Rep.-R-TX-17]","Van Duyne, Beth [Rep.-R-TX-24]","Van Orden, Derrick [Rep.-R-WI-3]","Weber, Randy K., Sr. [Rep.-R-TX-14]","Fallon, Pat [Rep.-R-TX-4]","Valadao, David G. [Rep.-R-CA-22]","Moylan, James C. [Del.-R-GU-At Large]","Gooden, Lance [Rep.-R-TX-5]","Arrington, Jodey C. [Rep.-R-TX-19]","Carter, John R. [Rep.-R-TX-31]","Kean, Thomas H. [Rep.-R-NJ-7]","Gonzalez, Vicente [Rep.-D-TX-34]","Jackson, Ronny [Rep.-R-TX-13]","Roy, Chip [Rep.-R-TX-21]","Burgess, Michael C. [Rep.-R-TX-26]","McCaul, Michael T. [Rep.-R-TX-10]","Collins, Mike [Rep.-R-GA-10]","Ezell, Mike [Rep.-R-MS-4]","Alford, Mark [Rep.-R-MO-4]","Lesko, Debbie [Rep.-R-AZ-8]","Owens, Burgess [Rep.-R-UT-4]","Kiley, Kevin [Rep.-R-CA-3]","Newhouse, Dan [Rep.-R-WA-4]","Issa, Darrell E. [Rep.-R-CA-48]","Doggett, Lloyd [Rep.-D-TX-37]","Williams, Roger [Rep.-R-TX-25]","LaMalfa, Doug [Rep.-R-CA-1]","Wilson, Joe [Rep.-R-SC-2]","Clyde, Andrew S. [Rep.-R-GA-9]","Davidson, Warren [Rep.-R-OH-8]","Cline, Ben [Rep.-R-VA-6]","Green, Al [Rep.-D-TX-9]","Kiggans, Jennifer A [Rep.-R-VA-2]","Veasey, Marc A. [Rep.-D-TX-33]","Allred, Colin Z. [Rep.-D-TX-32]","Crockett, Jasmine [Rep.-D-TX-30]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Government Operations and Politics","Congressional tributes","Government buildings, facilities, and property","Law enforcement officers","Postal service",Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Designates the facility of the United States Postal Service located at 620 East Pecan Boulevard in McAllen, Texas, as the ""Agent Raul H. Gonzalez Jr. Memorial Post Office."""
"H.R. 411",https://www.congress.gov/bill/118th-congress/house-bill/411,"118th Congress (2023-2024)","Lead by Example Act of 2023",,"Davidson, Warren [Rep.-R-OH-8]",,01/20/2023,1,,,"House - House Administration, Veterans' Affairs","Referred to the Subcommittee on Health.",02/08/2023,"Mace, Nancy [Rep.-R-SC-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Health facilities and institutions","Members of Congress","Department of Veterans Affairs","Government employee pay, benefits, personnel management","Congressional oversight","Health care costs and insurance","Congressional officers and employees","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Lead by Example Act of </b><b>2023</b></p> <p>This bill provides that, beginning January 3, 2025, the only health care plan the federal government may make available to Members of Congress and congressional staff shall be health care provided through the Department of Veterans Affairs (VA).</p> <p>By September 15, 2023, the VA and the Office of Personnel Management shall jointly submit to Congress a plan to carry out this bill, including recommendations for any necessary legislative actions.</p>"
"H.R. 410",https://www.congress.gov/bill/118th-congress/house-bill/410,"118th Congress (2023-2024)","Health Care PRICE Transparency Act",,"Davidson, Warren [Rep.-R-OH-8]",,01/20/2023,0,,,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",01/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Civil actions and liability","Consumer affairs","Prescription drugs","Hospital care","Health care coverage and access","Health care costs and insurance",Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><strong>Health Care Prices Revealed and Information to Consumers Explained Transparency Act or the Health Care PRICE Transparency Act</strong><br /> <br /> This bill provides statutory authority for requirements for hospitals and health insurance plans to disclose certain information about the costs for items and services.<br /> <br /> Specifically, hospitals must publish in their list of standard charges certain rates negotiated with insurers, discounts for cash payments, and billing codes. Further, hospitals generally must publish the standard charges for the services provided by the hospital that may be scheduled in advance.<br /> <br /> Additionally, insurance plans must publish the in-network and out-of-network charges for covered items and services and the negotiated prices for covered prescription drugs. Plans must provide a tool for consumers to search for this cost information. Consumers also may request additional information about the costs of specific items or services under their plans.</p>"
"H.R. 409",https://www.congress.gov/bill/118th-congress/house-bill/409,"118th Congress (2023-2024)","IHS Contract Support Cost Amendment Act",,"Cole, Tom [Rep.-R-OK-4]",,01/20/2023,12,,,"House - Natural Resources","Referred to the Subcommittee on Indian and Insular Affairs .",02/21/2023,"Davids, Sharice [Rep.-D-KS-3]","Brown, Shontel M. [Rep.-D-OH-11]","Moore, Gwen [Rep.-D-WI-4]","Stansbury, Melanie Ann [Rep.-D-NM-1]","McCollum, Betty [Rep.-D-MN-4]","Gallego, Ruben [Rep.-D-AZ-3]","Case, Ed [Rep.-D-HI-1]","Blumenauer, Earl [Rep.-D-OR-3]","Kilmer, Derek [Rep.-D-WA-6]","Calvert, Ken [Rep.-R-CA-41]","LaMalfa, Doug [Rep.-R-CA-1]","Johnson, Dusty [Rep.-R-SD-At Large]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Native Americans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><strong>IHS Contract Support Cost Amendment Act</strong></p> <p>This bill allows tribes to receive contract support costs for activities that would otherwise be carried out by the Department of the Interior or the Department of Health and Human Services for direct operation of a program, but for which the costs are not fully covered by the amount of funds required by the Indian Self-Determination and Education Assistance Act of 1975.</p>"
"H.R. 408",https://www.congress.gov/bill/118th-congress/house-bill/408,"118th Congress (2023-2024)","To amend the Fair Credit Reporting Act to exclude information relating to certain evictions from consumer reports, and for other purposes.",,"Cohen, Steve [Rep.-D-TN-9]",,01/20/2023,13,,,"House - Financial Services","Referred to the House Committee on Financial Services.",01/20/2023,"Cherfilus-McCormick, Sheila [Rep.-D-FL-20]","Norton, Eleanor Holmes [Del.-D-DC-At Large]","Grijalva, Raúl M. [Rep.-D-AZ-7]","Payne, Donald M., Jr. [Rep.-D-NJ-10]","Moskowitz, Jared [Rep.-D-FL-23]","McGovern, James P. [Rep.-D-MA-2]","Carson, Andre [Rep.-D-IN-7]","Clarke, Yvette D. [Rep.-D-NY-9]","Watson Coleman, Bonnie [Rep.-D-NJ-12]","Thompson, Bennie G. [Rep.-D-MS-2]","Bonamici, Suzanne [Rep.-D-OR-1]","Porter, Katie [Rep.-D-CA-47]","Blumenauer, Earl [Rep.-D-OR-3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><strong></strong> This bill prohibits from inclusion in a consumer credit report information related to an eviction occurring during the COVID-19 national emergency or occurring in the 30 days after the termination of such emergency.</p>"
"H.R. 407",https://www.congress.gov/bill/118th-congress/house-bill/407,"118th Congress (2023-2024)","Protect the UNBORN Act",,"Clyde, Andrew S. [Rep.-R-GA-9]",,01/20/2023,91,,,"House - Energy and Commerce, Judiciary, Ways and Means","Sponsor introductory remarks on measure. (CR H270)",01/24/2023,"Buck, Ken [Rep.-R-CO-4]","Aderholt, Robert B. [Rep.-R-AL-4]","Allen, Rick W. [Rep.-R-GA-12]","Arrington, Jodey C. [Rep.-R-TX-19]","Babin, Brian [Rep.-R-TX-36]","Bacon, Don [Rep.-R-NE-2]","Baird, James R. [Rep.-R-IN-4]","Balderson, Troy [Rep.-R-OH-12]","Banks, Jim [Rep.-R-IN-3]","Bergman, Jack [Rep.-R-MI-1]","Biggs, Andy [Rep.-R-AZ-5]","Bilirakis, Gus M. [Rep.-R-FL-12]","Bishop, Dan [Rep.-R-NC-8]","Boebert, Lauren [Rep.-R-CO-3]","Bost, Mike [Rep.-R-IL-12]","Cammack, Kat [Rep.-R-FL-3]","Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]","Cline, Ben [Rep.-R-VA-6]","Cloud, Michael [Rep.-R-TX-27]","Crawford, Eric A. ""Rick"" [Rep.-R-AR-1]","Davidson, Warren [Rep.-R-OH-8]","Donalds, Byron [Rep.-R-FL-19]","Duncan, Jeff [Rep.-R-SC-3]","Edwards, Chuck [Rep.-R-NC-11]","Ellzey, Jake [Rep.-R-TX-6]","Estes, Ron [Rep.-R-KS-4]","Fallon, Pat [Rep.-R-TX-4]","Feenstra, Randy [Rep.-R-IA-4]","Ferguson, A. Drew, IV [Rep.-R-GA-3]","Fleischmann, Charles J. ""Chuck"" [Rep.-R-TN-3]","Flood, Mike [Rep.-R-NE-1]","Franklin, C. Scott [Rep.-R-FL-18]","Gaetz, Matt [Rep.-R-FL-1]","Good, Bob [Rep.-R-VA-5]","Gooden, Lance [Rep.-R-TX-5]","Gosar, Paul A. [Rep.-R-AZ-9]","Greene, Marjorie Taylor [Rep.-R-GA-14]","Guest, Michael [Rep.-R-MS-3]","Harris, Andy [Rep.-R-MD-1]","Huizenga, Bill [Rep.-R-MI-4]","Jackson, Ronny [Rep.-R-TX-13]","Johnson, Bill [Rep.-R-OH-6]","Johnson, Dusty [Rep.-R-SD-At Large]","Johnson, Mike [Rep.-R-LA-4]","Jordan, Jim [Rep.-R-OH-4]","Kelly, Mike [Rep.-R-PA-16]","Kelly, Trent [Rep.-R-MS-1]","LaHood, Darin [Rep.-R-IL-16]","LaMalfa, Doug [Rep.-R-CA-1]","Lamborn, Doug [Rep.-R-CO-5]","LaTurner, Jake [Rep.-R-KS-2]","Lesko, Debbie [Rep.-R-AZ-8]","Loudermilk, Barry [Rep.-R-GA-11]","Mann, Tracey [Rep.-R-KS-1]","Mast, Brian J. [Rep.-R-FL-21]","McClain, Lisa C. [Rep.-R-MI-9]","McCormick, Richard [Rep.-R-GA-6]","Miller, Carol D. [Rep.-R-WV-1]","Miller, Mary E. [Rep.-R-IL-15]","Moolenaar, John R. [Rep.-R-MI-2]","Mooney, Alexander X. [Rep.-R-WV-2]","Moore, Barry [Rep.-R-AL-2]","Murphy, Gregory [Rep.-R-NC-3]","Nehls, Troy E. [Rep.-R-TX-22]","Norman, Ralph [Rep.-R-SC-5]","Ogles, Andrew [Rep.-R-TN-5]","Pfluger, August [Rep.-R-TX-11]","Posey, Bill [Rep.-R-FL-8]","Reschenthaler, Guy [Rep.-R-PA-14]","Rose, John W. [Rep.-R-TN-6]","Rosendale Sr., Matthew M. [Rep.-R-MT-2]","Roy, Chip [Rep.-R-TX-21]","Self, Keith [Rep.-R-TX-3]","Scott, Austin [Rep.-R-GA-8]","Smith, Adrian [Rep.-R-NE-3]","Stauber, Pete [Rep.-R-MN-8]","Stefanik, Elise M. [Rep.-R-NY-21]","Steube, W. Gregory [Rep.-R-FL-17]","Tenney, Claudia [Rep.-R-NY-24]","Thompson, Glenn [Rep.-R-PA-15]","Timmons, William R. IV [Rep.-R-SC-4]","Van Drew, Jefferson [Rep.-R-NJ-2]","Waltz, Michael [Rep.-R-FL-6]","Weber, Randy K., Sr. [Rep.-R-TX-14]","Webster, Daniel [Rep.-R-FL-11]","Wenstrup, Brad R. [Rep.-R-OH-2]","Williams, Roger [Rep.-R-TX-25]","Wittman, Robert J. [Rep.-R-VA-1]","Langworthy, Nicholas A. [Rep.-R-NY-23]","Rogers, Harold [Rep.-R-KY-5]","Rutherford, John H. [Rep.-R-FL-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Protect the UNBORN (Undo the Negligent Biden Orders Right Now) Act or the Protect the UNBORN Act</b></p> <p>This bill prohibits federal implementation of and funding for specified executive orders that address access to reproductive health care services, including services related to pregnancy or the termination of a pregnancy.</p>"
"H.R. 406",https://www.congress.gov/bill/118th-congress/house-bill/406,"118th Congress (2023-2024)","Providing Appropriate Recognition and Treatment Needed to Enhance Relations with ASEAN Act",,"Castro, Joaquin [Rep.-D-TX-20]",,01/20/2023,23,,,"House - Foreign Affairs","Ordered to be Reported by Voice Vote.",02/28/2023,"Swalwell, Eric [Rep.-D-CA-14]","Kim, Andy [Rep.-D-NJ-3]","Lawler, Michael [Rep.-R-NY-17]","Crow, Jason [Rep.-D-CO-6]","Kildee, Daniel T. [Rep.-D-MI-8]","Kim, Young [Rep.-R-CA-40]","Meeks, Gregory W. [Rep.-D-NY-5]","Keating, William R. [Rep.-D-MA-9]","Cherfilus-McCormick, Sheila [Rep.-D-FL-20]","Kamlager-Dove, Sydney [Rep.-D-CA-37]","Titus, Dina [Rep.-D-NV-1]","Cicilline, David N. [Rep.-D-RI-1]","Gallagher, Mike [Rep.-R-WI-8]","Bera, Ami [Rep.-D-CA-6]","Tenney, Claudia [Rep.-R-NY-24]","Sherman, Brad [Rep.-D-CA-32]","Radewagen, Aumua Amata Coleman [Del.-R-AS-At Large]","Case, Ed [Rep.-D-HI-1]","Larsen, Rick [Rep.-D-WA-2]","Salazar, Maria Elvira [Rep.-R-FL-27]","Wexton, Jennifer [Rep.-D-VA-10]","Issa, Darrell E. [Rep.-R-CA-48]","Tokuda, Jill N. [Rep.-D-HI-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 405",https://www.congress.gov/bill/118th-congress/house-bill/405,"118th Congress (2023-2024)","Essential Medicines Strategic Stockpile Act of 2023",,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",,01/20/2023,1,,,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",01/20/2023,"Blunt Rochester, Lisa [Rep.-D-DE-At Large]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
