Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 2425,https://www.congress.gov/bill/116th-congress/senate-bill/2425,116th Congress (2019-2020),CHP Support Act of 2019,,"King, Angus S., Jr. [Sen.-I-ME]",,8/1/19,1,,,Senate - Energy and Natural Resources,By Senator Murkowski from Committee on Energy and Natural Resources filed written report. Report No. 116-209.,1/28/20,"Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy efficiency and conservation,Electric power generation and transmission,Building construction,"Energy storage, supplies, demand",Public-private cooperation,Manufacturing,"Lighting, heating, cooling",Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2426,https://www.congress.gov/bill/116th-congress/senate-bill/2426,116th Congress (2019-2020),"A bill to establish a new timeline for certain State implementation plan and attainment requirements for the Fairbanks North Star Borough of the State of Alaska, and for other purposes.",,"Sullivan, Dan [Sen.-R-AK]",,8/1/19,1,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,8/1/19,"Murkowski, Lisa [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,Air quality,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2429,https://www.congress.gov/bill/116th-congress/senate-bill/2429,116th Congress (2019-2020),Restoring Resilient Reefs Act of 2020,,"Rubio, Marco [Sen.-R-FL]",,8/1/19,3,,,"Senate - Commerce, Science, and Transportation",Held at the desk.,12/24/20,"Schatz, Brian [Sen.-D-HI]","Hirono, Mazie K. [Sen.-D-HI]","Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Intergovernmental relations,Economic performance and conditions,Water quality,State and local government operations,Performance measurement,"Marine and coastal resources, fisheries",Solid waste and recycling,"Navigation, waterways, harbors",Marine pollution,Government information and archives,Marine and inland water transportation,Government trust funds,Genetics,Public-private cooperation,Research administration and funding,"Environmental assessment, monitoring, research",Licensing and registrations,Air quality,Aquatic ecology,Climate change and greenhouse gases,Geography and mapping,Public contracts and procurement,Wildlife conservation and habitat protection,Animal and plant health,State and local finance,Congressional oversight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2430,https://www.congress.gov/bill/116th-congress/senate-bill/2430,116th Congress (2019-2020),"A bill to provide an exemption from certain requirements for federally funded projects and activities in areas not in metropolitan statistical areas, and for other purposes.",,"Blackburn, Marsha [Sen.-R-TN]",,8/1/19,2,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,8/1/19,"Perdue, David [Sen.-R-GA]","Hyde-Smith, Cindy [Sen.-R-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,Endangered and threatened species,"Environmental assessment, monitoring, research",Historic sites and heritage areas,Regional and metropolitan planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2435,https://www.congress.gov/bill/116th-congress/senate-bill/2435,116th Congress (2019-2020),BASIC Act,,"Daines, Steve [Sen.-R-MT]",,8/1/19,3,,,Senate - Budget,Read twice and referred to the Committee on the Budget. (Sponsor introductory remarks on measure: CR S5315),8/1/19,"Cramer, Kevin [Sen.-R-ND]","Paul, Rand [Sen.-R-KY]","Perdue, David [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budget deficits and national debt,Budget process,Economics and Public Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2436,https://www.congress.gov/bill/116th-congress/senate-bill/2436,116th Congress (2019-2020),Southern Campaign of the Revolution National Heritage Corridor Act of 2019,,"Graham, Lindsey [Sen.-R-SC]",,8/1/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,8/1/19,"Scott, Tim [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Land use and conservation,Intergovernmental relations,Indian lands and resources rights,Historical and cultural resources,Historic sites and heritage areas,Higher education,Government studies and investigations,Congressional oversight,Conflicts and wars,Accounting and auditing,North Carolina,U.S. history,State and local government operations,South Carolina,Public-private cooperation,Performance measurement,"Parks, recreation areas, trails",Military history,Federal-Indian relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2437,https://www.congress.gov/bill/116th-congress/senate-bill/2437,116th Congress (2019-2020),Support Working Families Act,,"Young, Todd [Sen.-R-IN]",,8/1/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,8/1/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Adoption and foster care,Child care and development,Employee leave,Income tax credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2439,https://www.congress.gov/bill/116th-congress/senate-bill/2439,116th Congress (2019-2020),Trademark Licensing Protection Act of 2019,,"King, Angus S., Jr. [Sen.-I-ME]",,8/1/19,10,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,8/1/19,"Tillis, Thomas [Sen.-R-NC]","Cornyn, John [Sen.-R-TX]","Manchin, Joe, III [Sen.-D-WV]","Lankford, James [Sen.-R-OK]","Braun, Mike [Sen.-R-IN]","Cramer, Kevin [Sen.-R-ND]","Sinema, Kyrsten [Sen.-D-AZ]","Paul, Rand [Sen.-R-KY]","Collins, Susan M. [Sen.-R-ME]","Scott, Tim [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,Intellectual property,Labor standards,Licensing and registrations,Small business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2440,https://www.congress.gov/bill/116th-congress/senate-bill/2440,116th Congress (2019-2020),Qualified Health Savings Account Distribution Act of 2019,,"Sasse, Ben [Sen.-R-NE]",,8/1/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,8/1/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,"Bank accounts, deposits, capital","Tax administration and collection, taxpayers",Income tax exclusion,Health care costs and insurance,Employee benefits and pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2441,https://www.congress.gov/bill/116th-congress/senate-bill/2441,116th Congress (2019-2020),Health Savings Account Expansion Act of 2019,,"Sasse, Ben [Sen.-R-NE]",,8/1/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,8/1/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,"Bank accounts, deposits, capital",Income tax deductions,Health care costs and insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2442,https://www.congress.gov/bill/116th-congress/senate-bill/2442,116th Congress (2019-2020),"A bill to amend the Small Business Act to require the Small Business and Agriculture Regulatory Enforcement Ombudsman to create a centralized website for compliance guides, and for other purposes.",,"Cornyn, John [Sen.-R-TX]",,8/1/19,1,,,Senate - Small Business and Entrepreneurship,Read twice and referred to the Committee on Small Business and Entrepreneurship.,8/1/19,"Shaheen, Jeanne [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,Congressional oversight,Administrative law and regulatory procedures,Small Business Administration,Small business,Government information and archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2451,https://www.congress.gov/bill/116th-congress/senate-bill/2451,116th Congress (2019-2020),SFC Richard Stayskal Military Medical Accountability Act of 2019,,"Kennedy, John [Sen.-R-LA]",,9/10/19,2,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,9/10/19,"Scott, Rick [Sen.-R-FL]","Hirono, Mazie K. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law,Military medicine,Health facilities and institutions,Civil actions and liability,Health care quality,Government liability,Congressional oversight,Military personnel and dependents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2459,https://www.congress.gov/bill/116th-congress/senate-bill/2459,116th Congress (2019-2020),Justice for Ser­vice­mem­bers Act,,"Murkowski, Lisa [Sen.-R-AK]",,9/10/19,4,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,9/10/19,"Cantwell, Maria [Sen.-D-WA]","Reed, Jack [Sen.-D-RI]","Graham, Lindsey [Sen.-R-SC]","Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alternative dispute resolution, mediation, arbitration",Civil actions and liability,Employment discrimination and employee rights,"Government employee pay, benefits, personnel management",Labor-management relations,Law,Military personnel and dependents,"Veterans' education, employment, rehabilitation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2460,https://www.congress.gov/bill/116th-congress/senate-bill/2460,116th Congress (2019-2020),SAND Act,,"Rubio, Marco [Sen.-R-FL]",,9/11/19,0,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,9/11/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marine and coastal resources, fisheries",Public contracts and procurement,Seashores and lakeshores,Water Resources Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2464,https://www.congress.gov/bill/116th-congress/senate-bill/2464,116th Congress (2019-2020),Nationwide Injunction Abuse Prevention Act of 2019,,"Cotton, Tom [Sen.-R-AR]",,9/11/19,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,9/11/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal district courts,Judicial procedure and administration,Jurisdiction and venue,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2465,https://www.congress.gov/bill/116th-congress/senate-bill/2465,116th Congress (2019-2020),Cormorant Relief Act,,"Cotton, Tom [Sen.-R-AR]",,9/11/19,1,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,9/11/19,"Boozman, John [Sen.-R-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative law and regulatory procedures,Animals,Aquaculture,Birds,Department of the Interior,Government information and archives,Hunting and fishing,Licensing and registrations,Wildlife conservation and habitat protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2470,https://www.congress.gov/bill/116th-congress/senate-bill/2470,116th Congress (2019-2020),"An original bill making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2020, and for other purposes.",,"Alexander, Lamar [Sen.-R-TN]",,9/12/19,0,,,Senate - Appropriations,Placed on Senate Legislative Calendar under General Orders. Calendar No. 204.,9/12/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Economics and Public Finance,Advanced technology and technological innovations,Alaska,Alternative and renewable resources,Appalachian Regional Commission,Appropriations,Aquatic ecology,Arms control and nonproliferation,Army Corps of Engineers,California,Computer security and identity theft,Congressional oversight,Dams and canals,Defense Nuclear Facilities Safety Board,Delta Regional Authority,Denali Commission,Department of Defense,Department of Energy,Department of the Interior,Disaster relief and insurance,Economic development,Electric power generation and transmission,Emergency planning and evacuation,Energy efficiency and conservation,Energy research,Executive agency funding and structure,Federal Energy Regulatory Commission (FERC),Floods and storm protection,Government lending and loan guarantees,Government studies and investigations,Hazardous wastes and toxic substances,"Hybrid, electric, and advanced technology vehicles",Indian lands and resources rights,Indian social and development programs,Lakes and rivers,Latin America,Licensing and registrations,"Lighting, heating, cooling",Maine,Manufacturing,"Marine and coastal resources, fisheries",Mexico,Mississippi River,Natural disasters,"Navigation, waterways, harbors",New Hampshire,New York State,Nuclear Regulatory Commission (NRC),Nuclear Waste Technical Review Board,Nuclear power,Nuclear weapons,Oil and gas,Radioactive wastes and releases,Research administration and funding,Research and development,Rural conditions and development,Solid waste and recycling,Strategic materials and reserves,Texas,Utah,Vermont,Water quality,Water resources funding,Water storage,Water use and supply,Wildlife conservation and habitat protection,Great Lakes,Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2472,https://www.congress.gov/bill/116th-congress/senate-bill/2472,116th Congress (2019-2020),Neil A. Armstrong Test Facility Act,,"Portman, Rob [Sen.-R-OH]",,9/12/19,1,,,"Senate - Commerce, Science, and Transportation",Became Public Law No: 116-263.,12/30/20,"Brown, Sherrod [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",Congressional tributes,"Government buildings, facilities, and property",National Aeronautics and Space Administration,Ohio,U.S. history,Space flight and exploration,Spacecraft and satellites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2473,https://www.congress.gov/bill/116th-congress/senate-bill/2473,116th Congress (2019-2020),Extension of the Caribbean Basin Economic Recovery Act,,"Isakson, Johnny [Sen.-R-GA]",,9/12/19,6,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/12/19,"Loeffler, Kelly [Sen.-R-GA]","Cardin, Benjamin L. [Sen.-D-MD]","Rubio, Marco [Sen.-R-FL]","Jones, Doug [Sen.-D-AL]","Markey, Edward J. [Sen.-D-MA]","Perdue, David [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foreign Trade and International Finance,Caribbean area,Latin America,Manufacturing,Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
