Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 1683,https://www.congress.gov/bill/114th-congress/senate-bill/1683,114th Congress (2015-2016),SCRUB Act of 2015,,"Hatch, Orrin G. [Sen.-R-UT]",,6/25/15,3,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,6/25/15,"Blunt, Roy [Sen.-R-MO]","Ernst, Joni [Sen.-R-IA]","Fischer, Deb [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Competitiveness, trade promotion, trade deficits",Congressional oversight,Economic performance and conditions,Government information and archives,Government Operations and Politics,Government studies and investigations,Judicial review and appeals,Legislative rules and procedure,Small business,Administrative law and regulatory procedures,Advisory bodies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1684,https://www.congress.gov/bill/114th-congress/senate-bill/1684,114th Congress (2015-2016),Volunteer Organization Protection Act of 2015,,"Kirk, Mark Steven [Sen.-R-IL]",,6/25/15,3,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,6/25/15,"Hoeven, John [Sen.-R-ND]","Ayotte, Kelly [Sen.-R-NH]","Moran, Jerry [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Social work, volunteer service, charitable organizations",Civil actions and liability,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1685,https://www.congress.gov/bill/114th-congress/senate-bill/1685,114th Congress (2015-2016),Amateur Radio Parity Act of 2015,,"Wicker, Roger F. [Sen.-R-MS]",,6/25/15,4,,,"Senate - Commerce, Science, and Transportation","By Senator Thune from Committee on Commerce, Science, and Transportation filed written report. Report No. 114-400. Additional views filed.",12/9/16,"Blumenthal, Richard [Sen.-D-CT]","Franken, Al [Sen.-D-MN]","Moran, Jerry [Sen.-R-KS]","Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal preemption,Land use and conservation,"Science, Technology, Communications",Telephone and wireless communication,State and local government operations,Federal Communications Commission (FCC),"Broadcasting, cable, digital technologies",Administrative law and regulatory procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1691,https://www.congress.gov/bill/114th-congress/senate-bill/1691,114th Congress (2015-2016),National Forest Ecosystem Improvement Act of 2015,,"Barrasso, John [Sen.-R-WY]",,6/25/15,2,,,Senate - Energy and Natural Resources,"Committee on Energy and Natural Resources Senate Subcommittee on Public Lands, Forests, and Mining. Hearings held. With printed Hearing: S.Hrg. 114-400.",7/16/15,"Flake, Jeff [Sen.-R-AZ]","Hatch, Orrin G. [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Water quality,Wildlife conservation and habitat protection,Pest management,Land use and conservation,"Forests, forestry, trees",Fires,"Environmental assessment, monitoring, research",Watersheds,Endangered and threatened species,Ecology,"Alternative dispute resolution, mediation, arbitration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1692,https://www.congress.gov/bill/114th-congress/senate-bill/1692,114th Congress (2015-2016),"A bill to amend title 49, United States Code, to clarify the use of a towaway trailer transportation combination, and for other purposes.",,"Moran, Jerry [Sen.-R-KS]",,6/25/15,3,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",6/25/15,"Roberts, Pat [Sen.-R-KS]","Donnelly, Joe [Sen.-D-IN]","Inhofe, James M. [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor carriers,Transportation safety and security,Transportation and Public Works,State and local government operations,Motor vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1695,https://www.congress.gov/bill/114th-congress/senate-bill/1695,114th Congress (2015-2016),"Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2016",,"Blunt, Roy [Sen.-R-MO]",,6/25/15,0,,,Senate - Appropriations,Placed on Senate Legislative Calendar under General Orders. Calendar No. 137.,6/25/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing,Nutrition and diet,Occupational Safety and Health Review Commission,Palau,Pension Benefit Guaranty Corporation,Pornography,Poverty and welfare assistance,Public contracts and procurement,Puerto Rico,Racial and ethnic relations,Railroad Retirement Board,"Refugees, asylum, displaced persons",Research administration and funding,Research and development,Rural conditions and development,Seafood,"Separation, divorce, custody, support",Sex and reproductive health,Sexually transmitted diseases,Social Security Administration,Social security and elderly assistance,Special education,Student aid and college costs,Unemployment,"Veterans' education, employment, rehabilitation",Virgin Islands,Visas and passports,Vocational and technical education,Wages and earnings,Women's health,Worker safety and health,World health,Youth employment and child labor,Adult education and literacy,Aging,Caribbean area,Centers for Disease Control and Prevention (CDC),Child care and development,Child health,Child safety and welfare,Committee for Purchase from People Who Are Blind or Severely Disabled,Computers and information technology,Congressional oversight,Corporation for National and Community Service,Corporation for Public Broadcasting,Dental care,Department of Education,Department of Health and Human Services,Mining,Minority education,Minority health,Department of Labor,Digestive and metabolic diseases,Disability and paralysis,District of Columbia,Drug trafficking and controlled substances,"Drug, alcohol, tobacco use",Economics and Public Finance,Education of the disadvantaged,Education programs funding,Elementary and secondary education,Emergency medical services and trauma care,Employment and training programs,Energy assistance for the poor and aged,Environmental health,Executive agency funding and structure,Family planning and birth control,Family services,Federal Mediation and Conciliation Service,Federal Mine Safety and Health Review Commission,Firearms and explosives,Foreign aid and international relief,Foreign labor,Fraud offenses and financial crimes,Genetics,"Government employee pay, benefits, personnel management",Government information and archives,Government liability,Government trust funds,HIV/AIDS,Health care costs and insurance,Health care coverage and access,Health information and medical records,Health personnel,Health programs administration and funding,Health promotion and preventive care,"Health technology, devices, supplies","Hearing, speech, and vision care",Hereditary and development disorders,Higher education,Humanities programs funding,Immigrant health and welfare,Immunology and vaccination,Indian social and development programs,Infectious and parasitic diseases,Internet and video services,Medicare,Medicare Payment Advisory Commission,Mental health,Mexico,Labor standards,Labor-management relations,Latin America,Libraries and archives,Medicaid,Medical research,Abortion,Adoption and foster care,Allergies,American Samoa,Appropriations,Birth defects,Cancer,Cardiovascular and respiratory health,Musculoskeletal and skin diseases,"Museums, exhibitions, cultural centers",National Council on Disability,National Institutes of Health (NIH),National Labor Relations Board (NLRB),National Mediation Board,Neurological disorders,Northern Mariana Islands,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1696,https://www.congress.gov/bill/114th-congress/senate-bill/1696,114th Congress (2015-2016),Ocmulgee Mounds National Historical Park Boundary Revision Act of 2016,,"Isakson, Johnny [Sen.-R-GA]",,6/25/15,1,,,Senate - Energy and Natural Resources,Placed on Senate Legislative Calendar under General Orders. Calendar No. 591.,9/6/16,"Perdue, David [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia,Government studies and investigations,Historic sites and heritage areas,Land transfers,Land use and conservation,Monuments and memorials,"Parks, recreation areas, trails",Public Lands and Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1697,https://www.congress.gov/bill/114th-congress/senate-bill/1697,114th Congress (2015-2016),Small Business Healthcare Relief Act,,"Grassley, Chuck [Sen.-R-IA]",,6/25/15,14,,,Senate - Finance,Committee on Small Business and Entrepreneurship. Hearings held. Hearings printed: S.Hrg. 114-675.,5/18/16,"Heitkamp, Heidi [Sen.-D-ND]","Roberts, Pat [Sen.-R-KS]","Murkowski, Lisa [Sen.-R-AK]","Vitter, David [Sen.-R-LA]","Isakson, Johnny [Sen.-R-GA]","Ayotte, Kelly [Sen.-R-NH]","Johnson, Ron [Sen.-R-WI]","Portman, Rob [Sen.-R-OH]","Rubio, Marco [Sen.-R-FL]","Tester, Jon [Sen.-D-MT]","Bennet, Michael F. [Sen.-D-CO]","Coons, Christopher A. [Sen.-D-DE]","Hoeven, John [Sen.-R-ND]","Gardner, Cory [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Small business,Medicare,Income tax exclusion,Income tax credits,Health care coverage and access,Health care costs and insurance,Employee benefits and pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1698,https://www.congress.gov/bill/114th-congress/senate-bill/1698,114th Congress (2015-2016),Treatment of Certain Payments in Eugenics Compensation Act,,"Tillis, Thomas [Sen.-R-NC]",,6/25/15,5,,,House - Oversight and Government Reform,Became Public Law No: 114-241.,10/7/16,"Carper, Thomas R. [Sen.-D-DE]","Burr, Richard [Sen.-R-NC]","Warner, Mark R. [Sen.-D-VA]","Kaine, Tim [Sen.-D-VA]","Feinstein, Dianne [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State and local government operations,Health programs administration and funding,Government liability,Genetics,Food assistance and relief,Social Welfare,Sex and reproductive health,Public housing,Licensing and registrations,Poverty and welfare assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1700,https://www.congress.gov/bill/114th-congress/senate-bill/1700,114th Congress (2015-2016),Mitigation Facilitation Act of 2015,,"Murkowski, Lisa [Sen.-R-AK]",,6/25/15,0,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,6/25/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,Government lending and loan guarantees,Land transfers,Licensing and registrations,Solid waste and recycling,Water quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1701,https://www.congress.gov/bill/114th-congress/senate-bill/1701,114th Congress (2015-2016),Infrastructure Rehabilitation Act of 2015,,"Murkowski, Lisa [Sen.-R-AK]",,6/25/15,0,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,6/25/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aviation and airports,Environmental Protection,Infrastructure development,Licensing and registrations,Natural disasters,Railroads,Roads and highways,Solid waste and recycling,Water quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1704,https://www.congress.gov/bill/114th-congress/senate-bill/1704,114th Congress (2015-2016),Securing Urgent Resources Vital to Indian Victim Empowerment Act,,"Barrasso, John [Sen.-R-WY]",,7/7/15,10,,,Senate - Indian Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 312.,12/3/15,"Murkowski, Lisa [Sen.-R-AK]","Tester, Jon [Sen.-D-MT]","Udall, Tom [Sen.-D-NM]","Hoeven, John [Sen.-R-ND]","Moran, Jerry [Sen.-R-KS]","Schatz, Brian [Sen.-D-HI]","Heitkamp, Heidi [Sen.-D-ND]","Daines, Steve [Sen.-R-MT]","McCain, John [Sen.-R-AZ]","Franken, Al [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative law and regulatory procedures,Crime victims,Department of Justice,Department of the Interior,Law enforcement administration and funding,Native Americans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1705,https://www.congress.gov/bill/114th-congress/senate-bill/1705,114th Congress (2015-2016),Intelligence Authorization Act for Fiscal Year 2016,,"Burr, Richard [Sen.-R-NC]",,7/7/15,0,,,Senate - Intelligence (Select),By Senator Burr from Select Committee on Intelligence filed written report. Report No. 114-83. Additional views filed.,7/16/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coast guard,Congressional oversight,"Criminal investigation, prosecution, interrogation",Cuba,Caribbean area,Central Intelligence Agency (CIA),China,Armed Forces and National Security,Arms control and nonproliferation,Defense spending,Department of Defense,Department of Energy,Department of Homeland Security,Department of Justice,Department of State,Department of the Treasury,"Diplomacy, foreign officials, Americans abroad",Director of National Intelligence,Drug Enforcement Administration (DEA),Drug trafficking and controlled substances,Executive agency funding and structure,Federal Bureau of Investigation (FBI),Firearms and explosives,Foreign property,"Government employee pay, benefits, personnel management","Government ethics and transparency, public corruption",Government information and archives,Government studies and investigations,Homeland security,Human rights,"Intelligence activities, surveillance, classified information",International law and treaties,Iran,Latin America,Law enforcement administration and funding,Middle East,"Military assistance, sales, and agreements",Military operations and strategy,Military personnel and dependents,News media and reporting,Nuclear weapons,Pacific Ocean,Political parties and affiliation,Protest and dissent,Research and development,Russia,Sanctions,Spacecraft and satellites,Syria,Telephone and wireless communication,Terrorism,Trade restrictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1706,https://www.congress.gov/bill/114th-congress/senate-bill/1706,114th Congress (2015-2016),Energy Efficient Government Technology Act,,"Risch, James E. [Sen.-R-ID]",,7/7/15,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,7/7/15,"Heinrich, Martin [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,Energy efficiency and conservation,Environmental technology,"Government buildings, facilities, and property",Government information and archives,Government studies and investigations,Performance measurement,Public contracts and procurement,Computers and information technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1707,https://www.congress.gov/bill/114th-congress/senate-bill/1707,114th Congress (2015-2016),"A bill to designate the Federal building located at 617 Walnut Street in Helena, Arkansas, as the ""Jacob Trieber Federal Building, United States Post Office, and United States Court House"".",,"Boozman, John [Sen.-R-AR]",,7/7/15,2,,,Senate - Environment and Public Works,Became Public Law No: 114-67.,10/7/15,"Cotton, Tom [Sen.-R-AR]","Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arkansas,Congressional tributes,"Government buildings, facilities, and property",Government Operations and Politics,Postal service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1711,https://www.congress.gov/bill/114th-congress/senate-bill/1711,114th Congress (2015-2016),"A bill to provide for a temporary safe harbor from the enforcement of integrated disclosure requirements for mortgage loan transactions under the Real Estate Settlement Procedures Act of 1974 and the Truth in Lending Act, and for other purposes.",,"Scott, Tim [Sen.-R-SC]",,7/7/15,18,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",7/7/15,"Roberts, Pat [Sen.-R-KS]","Crapo, Mike [Sen.-R-ID]","Isakson, Johnny [Sen.-R-GA]","Shaheen, Jeanne [Sen.-D-NH]","Ayotte, Kelly [Sen.-R-NH]","Heller, Dean [Sen.-R-NV]","Donnelly, Joe [Sen.-D-IN]","King, Angus S., Jr. [Sen.-I-ME]","Daines, Steve [Sen.-R-MT]","Rounds, Mike [Sen.-R-SD]","McCain, John [Sen.-R-AZ]","Gardner, Cory [Sen.-R-CO]","Thune, John [Sen.-R-SD]","Portman, Rob [Sen.-R-OH]","Toomey, Patrick [Sen.-R-PA]","Inhofe, James M. [Sen.-R-OK]","Risch, James E. [Sen.-R-ID]","Perdue, David [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing finance and home ownership,Real estate business,Administrative law and regulatory procedures,Civil actions and liability,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
