Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 2224,https://www.congress.gov/bill/116th-congress/senate-bill/2224,116th Congress (2019-2020),Visa Transparency Anti-Trafficking Act of 2019,,"Blumenthal, Richard [Sen.-D-CT]",,7/23/19,3,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/23/19,"Cruz, Ted [Sen.-R-TX]","Leahy, Patrick J. [Sen.-D-VT]","Grassley, Chuck [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immigration,Administrative law and regulatory procedures,Congressional oversight,Employment and training programs,Employment discrimination and employee rights,Foreign labor,Government information and archives,Higher education,Human trafficking,Immigration status and procedures,Intergovernmental relations,Law enforcement officers,Personnel records,User charges and fees,Visas and passports,Department of Homeland Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2225,https://www.congress.gov/bill/116th-congress/senate-bill/2225,116th Congress (2019-2020),BASIC Act,,"Harris, Kamala D. [Sen.-D-CA]",,7/23/19,2,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",7/23/19,"Feinstein, Dianne [Sen.-D-CA]","Warren, Elizabeth [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Higher education,Health care costs and insurance,Government information and archives,Food assistance and relief,Educational facilities and institutions,Education programs funding,Education of the disadvantaged,Congressional oversight,Child care and development,Housing and community development funding,Transportation costs,Student records,Student aid and college costs,School administration,Research administration and funding,Poverty and welfare assistance,Minority education,Medicaid,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2226,https://www.congress.gov/bill/116th-congress/senate-bill/2226,116th Congress (2019-2020),Redistricting Reform Act of 2019,,"Klobuchar, Amy [Sen.-D-MN]",,7/23/19,13,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/23/19,"Feinstein, Dianne [Sen.-D-CA]","Casey, Robert P., Jr. [Sen.-D-PA]","Sanders, Bernard [Sen.-I-VT]","Coons, Christopher A. [Sen.-D-DE]","Van Hollen, Chris [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]","Udall, Tom [Sen.-D-NM]","Harris, Kamala D. [Sen.-D-CA]","Durbin, Richard J. [Sen.-D-IL]","Hirono, Mazie K. [Sen.-D-HI]","Booker, Cory A. [Sen.-D-NJ]","Merkley, Jeff [Sen.-D-OR]","Carper, Thomas R. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Census and government statistics,Civil actions and liability,Congressional districts and representation,Congressional oversight,Election Assistance Commission,Evidence and witnesses,Executive agency funding and structure,Federal district courts,Foreign language and bilingual programs,Government information and archives,Judicial review and appeals,Performance measurement,Political parties and affiliation,Public contracts and procurement,Public participation and lobbying,State and local finance,State and local government operations,Voting rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2227,https://www.congress.gov/bill/116th-congress/senate-bill/2227,116th Congress (2019-2020),MORE Act of 2019,,"Harris, Kamala D. [Sen.-D-CA]",,7/23/19,8,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/23/19,"Heinrich, Martin [Sen.-D-NM]","Wyden, Ron [Sen.-D-OR]","Merkley, Jeff [Sen.-D-OR]","Warren, Elizabeth [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Markey, Edward J. [Sen.-D-MA]","Gillibrand, Kirsten E. [Sen.-D-NY]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,Administrative law and regulatory procedures,Administrative remedies,Adult education and literacy,Business records,Correctional facilities and imprisonment,Department of Justice,Drug trafficking and controlled substances,"Drug, alcohol, tobacco use",Employment and training programs,Executive agency funding and structure,Government trust funds,Immigration status and procedures,Judicial review and appeals,Juvenile crime and gang violence,Lawyers and legal services,Licensing and registrations,Minority and disadvantaged businesses,Retail and wholesale trades,Sales and excise taxes,Small business,"Veterans' education, employment, rehabilitation",Women in business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2230,https://www.congress.gov/bill/116th-congress/senate-bill/2230,116th Congress (2019-2020),Child Care Flex Spending Act of 2019,,"Murphy, Christopher [Sen.-D-CT]",,7/23/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/23/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Employee benefits and pensions,Administrative law and regulatory procedures,Tax treatment of families,Adult day care,Child care and development,Income tax exclusion,Inflation and prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2231,https://www.congress.gov/bill/116th-congress/senate-bill/2231,116th Congress (2019-2020),American Opportunity Accounts Act,,"Booker, Cory A. [Sen.-D-NJ]",,7/23/19,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/23/19,"Baldwin, Tammy [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Congressional oversight,Department of the Treasury,Executive agency funding and structure,Wages and earnings,Financial services and investments,Government trust funds,Health care costs and insurance,Higher education,Housing finance and home ownership,Income tax exclusion,Income tax rates,Inflation and prices,Student aid and college costs,"Tax administration and collection, taxpayers",Tax treatment of families,Transfer and inheritance taxes,Capital gains tax,"Bank accounts, deposits, capital",Advisory bodies,Administrative law and regulatory procedures,Accounting and auditing,Financial literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2232,https://www.congress.gov/bill/116th-congress/senate-bill/2232,116th Congress (2019-2020),Campaign Finance Transparency Act,,"Klobuchar, Amy [Sen.-D-MN]",,7/23/19,1,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,7/23/19,"Warren, Elizabeth [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Executive agency funding and structure,"Elections, voting, political campaign regulation",Civil actions and liability,Federal officials,Administrative remedies,Advisory bodies,Federal Election Commission (FEC),Government studies and investigations,Judicial review and appeals,Political advertising,Political parties and affiliation,Government information and archives,Fraud offenses and financial crimes,Accounting and auditing,Inflation and prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2233,https://www.congress.gov/bill/116th-congress/senate-bill/2233,116th Congress (2019-2020),A bill to nullify the effect of the recent executive order that requires Federal agencies to share citizenship data.,,"Schatz, Brian [Sen.-D-HI]",,7/23/19,32,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,7/23/19,"Heinrich, Martin [Sen.-D-NM]","Feinstein, Dianne [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Durbin, Richard J. [Sen.-D-IL]","Reed, Jack [Sen.-D-RI]","Brown, Sherrod [Sen.-D-OH]","Klobuchar, Amy [Sen.-D-MN]","Bennet, Michael F. [Sen.-D-CO]","Gillibrand, Kirsten E. [Sen.-D-NY]","Blumenthal, Richard [Sen.-D-CT]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","Booker, Cory A. [Sen.-D-NJ]","Duckworth, Tammy [Sen.-D-IL]","Whitehouse, Sheldon [Sen.-D-RI]","Leahy, Patrick J. [Sen.-D-VT]","Wyden, Ron [Sen.-D-OR]","Schumer, Charles E. [Sen.-D-NY]","Cardin, Benjamin L. [Sen.-D-MD]","Sanders, Bernard [Sen.-I-VT]","Van Hollen, Chris [Sen.-D-MD]","Baldwin, Tammy [Sen.-D-WI]","Carper, Thomas R. [Sen.-D-DE]","Markey, Edward J. [Sen.-D-MA]","Rosen, Jacky [Sen.-D-NV]","Casey, Robert P., Jr. [Sen.-D-PA]","Warren, Elizabeth [Sen.-D-MA]","Harris, Kamala D. [Sen.-D-CA]","Cortez Masto, Catherine [Sen.-D-NV]","Merkley, Jeff [Sen.-D-OR]","Warner, Mark R. [Sen.-D-VA]","Udall, Tom [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Census and government statistics,Congressional oversight,Citizenship and naturalization,Government information and archives,"Presidents and presidential powers, Vice Presidents",Immigration status and procedures,Immigration,Government Operations and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2235,https://www.congress.gov/bill/116th-congress/senate-bill/2235,116th Congress (2019-2020),Student Loan Debt Relief Act of 2019,,"Warren, Elizabeth [Sen.-D-MA]",,7/23/19,2,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/23/19,"Brown, Sherrod [Sen.-D-OH]","Markey, Edward J. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,Congressional oversight,Bankruptcy,Wages and earnings,"Teaching, teachers, curricula",Student aid and college costs,"Social work, volunteer service, charitable organizations",Military personnel and dependents,Lawyers and legal services,Law enforcement officers,"Interest, dividends, interest rates",Income tax exclusion,Higher education,Government lending and loan guarantees,Government information and archives,"Government employee pay, benefits, personnel management",Debt collection,Emergency medical services and trauma care,First responders and emergency personnel,Consumer credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2236,https://www.congress.gov/bill/116th-congress/senate-bill/2236,116th Congress (2019-2020),Environmental Justice Act of 2019,,"Booker, Cory A. [Sen.-D-NJ]",,7/23/19,13,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,7/23/19,"Udall, Tom [Sen.-D-NM]","Coons, Christopher A. [Sen.-D-DE]","Durbin, Richard J. [Sen.-D-IL]","Carper, Thomas R. [Sen.-D-DE]","Sanders, Bernard [Sen.-I-VT]","Merkley, Jeff [Sen.-D-OR]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Duckworth, Tammy [Sen.-D-IL]","Harris, Kamala D. [Sen.-D-CA]","Van Hollen, Chris [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory bodies,Air quality,Civil actions and liability,Climate change and greenhouse gases,Disaster relief and insurance,Due process and equal protection,Environmental Protection Agency (EPA),"Environmental assessment, monitoring, research",Environmental health,Environmental Protection,Environmental regulatory procedures,Executive Office of the President,Executive agency funding and structure,"Food supply, safety, and labeling",Government information and archives,Indian lands and resources rights,Infrastructure development,Land use and conservation,Licensing and registrations,Medical research,Mining,Minority health,Performance measurement,Poverty and welfare assistance,Public participation and lobbying,Racial and ethnic relations,Research administration and funding,Soil pollution,Solid waste and recycling,Water quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2237,https://www.congress.gov/bill/116th-congress/senate-bill/2237,116th Congress (2019-2020),Monopolization Deterrence Act of 2019,,"Klobuchar, Amy [Sen.-D-MN]",,7/23/19,3,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/23/19,"Blumenthal, Richard [Sen.-D-CT]","Feinstein, Dianne [Sen.-D-CA]","Markey, Edward J. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,Competition and antitrust,Civil actions and liability,Federal Trade Commission (FTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2238,https://www.congress.gov/bill/116th-congress/senate-bill/2238,116th Congress (2019-2020),SAFE Act,,"Klobuchar, Amy [Sen.-D-MN]",,7/23/19,16,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,7/23/19,"Sanders, Bernard [Sen.-I-VT]","Hirono, Mazie K. [Sen.-D-HI]","Booker, Cory A. [Sen.-D-NJ]","Casey, Robert P., Jr. [Sen.-D-PA]","Wyden, Ron [Sen.-D-OR]","Brown, Sherrod [Sen.-D-OH]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Bennet, Michael F. [Sen.-D-CO]","Markey, Edward J. [Sen.-D-MA]","Merkley, Jeff [Sen.-D-OR]","Harris, Kamala D. [Sen.-D-CA]","Durbin, Richard J. [Sen.-D-IL]","King, Angus S., Jr. [Sen.-I-ME]","Smith, Tina [Sen.-D-MN]","Udall, Tom [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Disability and paralysis,Research administration and funding,Voting rights,"Government ethics and transparency, public corruption",Technology assessment,Buy American requirements,"Elections, voting, political campaign regulation",Public contracts and procurement,Adult education and literacy,Internet and video services,Manufacturing,Right of privacy,Foreign language and bilingual programs,Advisory bodies,Congressional elections,Government information and archives,Telephone and wireless communication,Accounting and auditing,Research and development,State and local government operations,Computer security and identity theft,Congressional oversight,"Hearing, speech, and vision care",Government studies and investigations,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2239,https://www.congress.gov/bill/116th-congress/senate-bill/2239,116th Congress (2019-2020),"A bill to codify an Executive order preparing the United States for the impacts of climate change, and for other purposes.",,"Klobuchar, Amy [Sen.-D-MN]",,7/23/19,0,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,7/23/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,Advisory bodies,Climate change and greenhouse gases,"Presidents and presidential powers, Vice Presidents",Air quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2240,https://www.congress.gov/bill/116th-congress/senate-bill/2240,116th Congress (2019-2020),Digital Citizenship and Media Literacy Act,,"Klobuchar, Amy [Sen.-D-MN]",,7/23/19,7,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",7/23/19,"Whitehouse, Sheldon [Sen.-D-RI]","Bennet, Michael F. [Sen.-D-CO]","Peters, Gary C. [Sen.-D-MI]","Smith, Tina [Sen.-D-MN]","Feinstein, Dianne [Sen.-D-CA]","Brown, Sherrod [Sen.-D-OH]","Shaheen, Jeanne [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,Elementary and secondary education,Education of the disadvantaged,Congressional oversight,Computers and information technology,Academic performance and assessments,Digital media,Government studies and investigations,"Teaching, teachers, curricula",News media and reporting,Fraud offenses and financial crimes,Advisory bodies,Education programs funding,Government information and archives,School administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
