Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 3288,https://www.congress.gov/bill/117th-congress/senate-bill/3288,117th Congress (2021-2022),NTIA Reauthorization and Reform Act of 2021,,"Wicker, Roger F. [Sen.-R-MS]",,11/30/21,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",11/30/21,"Thune, John [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3299,https://www.congress.gov/bill/117th-congress/senate-bill/3299,117th Congress (2021-2022),A bill to prohibit the Department of Defense from discharging or withholding pay or benefits from members of the National Guard based on COVID-19 vaccination status.,,"Lankford, James [Sen.-R-OK]",,12/1/21,2,,,,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 174.,12/2/21,"Lee, Mike [Sen.-R-UT]","Cruz, Ted [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Military personnel and dependents,Military medicine,Military education and training,Infectious and parasitic diseases,Health care coverage and access,Emergency medical services and trauma care,Cardiovascular and respiratory health,National Guard and reserves,Wages and earnings,Immunology and vaccination,Employment discrimination and employee rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3300,https://www.congress.gov/bill/117th-congress/senate-bill/3300,117th Congress (2021-2022),Protect American Taxpayer Dollars from Illegal Immigration Act,,"Tillis, Thomas [Sen.-R-NC]",,12/2/21,35,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,12/2/21,"Scott, Tim [Sen.-R-SC]","McConnell, Mitch [Sen.-R-KY]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","Graham, Lindsey [Sen.-R-SC]","Burr, Richard [Sen.-R-NC]","Thune, John [Sen.-R-SD]","Boozman, John [Sen.-R-AR]","Hoeven, John [Sen.-R-ND]","Lee, Mike [Sen.-R-UT]","Moran, Jerry [Sen.-R-KS]","Paul, Rand [Sen.-R-KY]","Cotton, Tom [Sen.-R-AR]","Daines, Steve [Sen.-R-MT]","Ernst, Joni [Sen.-R-IA]","Lankford, James [Sen.-R-OK]","Young, Todd [Sen.-R-IN]","Blackburn, Marsha [Sen.-R-TN]","Braun, Mike [Sen.-R-IN]","Cramer, Kevin [Sen.-R-ND]","Hawley, Josh [Sen.-R-MO]","Romney, Mitt [Sen.-R-UT]","Scott, Rick [Sen.-R-FL]","Hagerty, Bill [Sen.-R-TN]","Tuberville, Tommy [Sen.-R-AL]","Grassley, Chuck [Sen.-R-IA]","Shelby, Richard C. [Sen.-R-AL]","Inhofe, James M. [Sen.-R-OK]","Collins, Susan M. [Sen.-R-ME]","Wicker, Roger F. [Sen.-R-MS]","Risch, James E. [Sen.-R-ID]","Capito, Shelley Moore [Sen.-R-WV]","Portman, Rob [Sen.-R-OH]","Cruz, Ted [Sen.-R-TX]","Hyde-Smith, Cindy [Sen.-R-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3301,https://www.congress.gov/bill/117th-congress/senate-bill/3301,117th Congress (2021-2022),Charlotte Woodward Organ Transplant Discrimination Prevention Act,,"Rubio, Marco [Sen.-R-FL]",,12/2/21,3,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/2/21,"Moran, Jerry [Sen.-R-KS]","Hassan, Margaret Wood [Sen.-D-NH]","Blackburn, Marsha [Sen.-R-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3302,https://www.congress.gov/bill/117th-congress/senate-bill/3302,117th Congress (2021-2022),21st Century Dyslexia Act,,"Cassidy, Bill [Sen.-R-LA]",,12/2/21,5,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/2/21,"Hickenlooper, John W. [Sen.-D-CO]","Graham, Lindsey [Sen.-R-SC]","Scott, Tim [Sen.-R-SC]","Kennedy, John [Sen.-R-LA]","Braun, Mike [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3303,https://www.congress.gov/bill/117th-congress/senate-bill/3303,117th Congress (2021-2022),NASA Enhanced Use Leasing Extension Act of 2021,,"Rubio, Marco [Sen.-R-FL]",,12/2/21,4,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/2/21,"Hyde-Smith, Cindy [Sen.-R-MS]","Scott, Rick [Sen.-R-FL]","Feinstein, Dianne [Sen.-D-CA]","Padilla, Alex [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",National Aeronautics and Space Administration,"Government buildings, facilities, and property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3304,https://www.congress.gov/bill/117th-congress/senate-bill/3304,117th Congress (2021-2022),Patient Advocate Tracker Act,,"Kennedy, John [Sen.-R-LA]",,12/2/21,6,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,12/2/21,"Rosen, Jacky [Sen.-D-NV]","Peters, Gary C. [Sen.-D-MI]","Warnock, Raphael G. [Sen.-D-GA]","Coons, Christopher A. [Sen.-D-DE]","Stabenow, Debbie [Sen.-D-MI]","Braun, Mike [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Administrative remedies,Health care quality,Health information and medical records,Department of Veterans Affairs,Veterans' medical care,Computers and information technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3305,https://www.congress.gov/bill/117th-congress/senate-bill/3305,117th Congress (2021-2022),Chemical Tax Repeal Act,,"Cruz, Ted [Sen.-R-TX]",,12/2/21,5,,,Senate - Finance,Read twice and referred to the Committee on Finance.,12/2/21,"Lee, Mike [Sen.-R-UT]","Barrasso, John [Sen.-R-WY]","Kennedy, John [Sen.-R-LA]","Inhofe, James M. [Sen.-R-OK]","Toomey, Patrick [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3306,https://www.congress.gov/bill/117th-congress/senate-bill/3306,117th Congress (2021-2022),SPACE Act,,"Rubio, Marco [Sen.-R-FL]",,12/2/21,0,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/2/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",Foreign and international corporations,Technology transfer and commercialization,U.S. and foreign investments,Spacecraft and satellites,Space flight and exploration,Securities,Russia,Political parties and affiliation,National Aeronautics and Space Administration,Mining,"Military procurement, research, weapons development",Military civil functions,Manufacturing,Intellectual property,Executive agency funding and structure,Department of Commerce,Congressional oversight,Computers and information technology,"Competitiveness, trade promotion, trade deficits",China,Asia,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3307,https://www.congress.gov/bill/117th-congress/senate-bill/3307,117th Congress (2021-2022),Wilson's Creek National Battlefield Boundary Revision Act of 2021,,"Blunt, Roy [Sen.-R-MO]",,12/2/21,1,,,Senate - Energy and Natural Resources,Placed on Senate Legislative Calendar under General Orders. Calendar No. 536.,10/18/22,"Hawley, Josh [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Historic sites and heritage areas,Land transfers,Geography and mapping,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3311,https://www.congress.gov/bill/117th-congress/senate-bill/3311,117th Congress (2021-2022),FTC Integrity Act,,"Moran, Jerry [Sen.-R-KS]",,12/2/21,7,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/2/21,"Tillis, Thomas [Sen.-R-NC]","Thune, John [Sen.-R-SD]","Blunt, Roy [Sen.-R-MO]","Johnson, Ron [Sen.-R-WI]","Lee, Mike [Sen.-R-UT]","Cruz, Ted [Sen.-R-TX]","Lummis, Cynthia M. [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3312,https://www.congress.gov/bill/117th-congress/senate-bill/3312,117th Congress (2021-2022),Taiwan Preclearance Act,,"Hawley, Josh [Sen.-R-MO]",,12/2/21,6,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,12/2/21,"Tuberville, Tommy [Sen.-R-AL]","Hyde-Smith, Cindy [Sen.-R-MS]","Cornyn, John [Sen.-R-TX]","Braun, Mike [Sen.-R-IN]","Scott, Rick [Sen.-R-FL]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3314,https://www.congress.gov/bill/117th-congress/senate-bill/3314,117th Congress (2021-2022),Supporting Medicare Providers Act of 2021,,"Boozman, John [Sen.-R-AR]",,12/6/21,3,,,Senate - Finance,Read twice and referred to the Committee on Finance.,12/6/21,"Padilla, Alex [Sen.-D-CA]","Marshall, Roger [Sen.-R-KS]","Tester, Jon [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3315,https://www.congress.gov/bill/117th-congress/senate-bill/3315,117th Congress (2021-2022),"State, Tribal, and Local Species Transparency and Recovery Act",,"Lummis, Cynthia M. [Sen.-R-WY]",,12/6/21,3,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,12/6/21,"Risch, James E. [Sen.-R-ID]","Barrasso, John [Sen.-R-WY]","Crapo, Mike [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3316,https://www.congress.gov/bill/117th-congress/senate-bill/3316,117th Congress (2021-2022),A bill to provide for certain whistleblower incentives and protections.,,"Grassley, Chuck [Sen.-R-IA]",,12/6/21,3,,,"Senate - Banking, Housing, and Urban Affairs",Held at the desk.,12/8/22,"Cortez Masto, Catherine [Sen.-D-NV]","Warnock, Raphael G. [Sen.-D-GA]","Warren, Elizabeth [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,Employment discrimination and employee rights,Government trust funds,Government information and archives,"Government ethics and transparency, public corruption","Government employee pay, benefits, personnel management",Fraud offenses and financial crimes,Evidence and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3318,https://www.congress.gov/bill/117th-congress/senate-bill/3318,117th Congress (2021-2022),Taylor Force Martyr Payment Prevention Act of 2021,,"Cotton, Tom [Sen.-R-AR]",,12/6/21,17,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",12/6/21,"Lankford, James [Sen.-R-OK]","Graham, Lindsey [Sen.-R-SC]","Blunt, Roy [Sen.-R-MO]","Rubio, Marco [Sen.-R-FL]","Cruz, Ted [Sen.-R-TX]","Daines, Steve [Sen.-R-MT]","Young, Todd [Sen.-R-IN]","Blackburn, Marsha [Sen.-R-TN]","Braun, Mike [Sen.-R-IN]","Cramer, Kevin [Sen.-R-ND]","Scott, Rick [Sen.-R-FL]","Hagerty, Bill [Sen.-R-TN]","Marshall, Roger [Sen.-R-KS]","Hyde-Smith, Cindy [Sen.-R-MS]","Hoeven, John [Sen.-R-ND]","Thune, John [Sen.-R-SD]","Scott, Tim [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3322,https://www.congress.gov/bill/117th-congress/senate-bill/3322,117th Congress (2021-2022),CAATSA Implementation Act of 2021,,"Cruz, Ted [Sen.-R-TX]",,12/7/21,0,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",12/7/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Affairs,Congressional oversight,Russia,Germany,Europe,Sanctions,"Presidents and presidential powers, Vice Presidents",Pipelines,Oil and gas,Foreign property,"Sovereignty, recognition, national governance and status",War and emergency powers,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3323,https://www.congress.gov/bill/117th-congress/senate-bill/3323,117th Congress (2021-2022),Veterans Justice Outreach Improvement Act of 2021,,"Cramer, Kevin [Sen.-R-ND]",,12/7/21,1,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,12/7/21,"Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Veterans' organizations and recognition,Judicial procedure and administration,"Veterans' education, employment, rehabilitation",Government information and archives,Employment and training programs,Performance measurement,Congressional oversight,Department of Veterans Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
