Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 1566,https://www.congress.gov/bill/115th-congress/senate-bill/1566,115th Congress (2017-2018),CARE for Reservists Act of 2017,,"Tester, Jon [Sen.-D-MT]",,7/13/17,6,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,7/13/17,"Klobuchar, Amy [Sen.-D-MN]","Franken, Al [Sen.-D-MN]","Manchin, Joe, III [Sen.-D-WV]","Baldwin, Tammy [Sen.-D-WI]","Peters, Gary C. [Sen.-D-MI]","Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Congressional oversight,Department of Veterans Affairs,Emergency medical services and trauma care,Executive agency funding and structure,"Government employee pay, benefits, personnel management",Government studies and investigations,Health promotion and preventive care,"Health technology, devices, supplies",Home and outpatient care,Mental health,Military medicine,Military operations and strategy,National Guard and reserves,Veterans' medical care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1567,https://www.congress.gov/bill/115th-congress/senate-bill/1567,115th Congress (2017-2018),VA Prescription Data Accountability Act of 2017,,"Donnelly, Joe [Sen.-D-IN]",,7/13/17,1,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,7/13/17,"Rounds, Mike [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State and local government operations,Prescription drugs,Health information and medical records,Drug trafficking and controlled substances,Armed Forces and National Security,Veterans' medical care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1568,https://www.congress.gov/bill/115th-congress/senate-bill/1568,115th Congress (2017-2018),President John F. Kennedy Commemorative Coin Act,,"Markey, Edward J. [Sen.-D-MA]",,7/17/17,30,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",7/17/17,"Nelson, Bill [Sen.-D-FL]","Klobuchar, Amy [Sen.-D-MN]","Hassan, Margaret Wood [Sen.-D-NH]","Wyden, Ron [Sen.-D-OR]","Udall, Tom [Sen.-D-NM]","Merkley, Jeff [Sen.-D-OR]","Manchin, Joe, III [Sen.-D-WV]","King, Angus S., Jr. [Sen.-I-ME]","Heitkamp, Heidi [Sen.-D-ND]","Cortez Masto, Catherine [Sen.-D-NV]","Heinrich, Martin [Sen.-D-NM]","McCain, John [Sen.-R-AZ]","Cardin, Benjamin L. [Sen.-D-MD]","Whitehouse, Sheldon [Sen.-D-RI]","Hirono, Mazie K. [Sen.-D-HI]","Booker, Cory A. [Sen.-D-NJ]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Van Hollen, Chris [Sen.-D-MD]","Shaheen, Jeanne [Sen.-D-NH]","Coons, Christopher A. [Sen.-D-DE]","Franken, Al [Sen.-D-MN]","Durbin, Richard J. [Sen.-D-IL]","Peters, Gary C. [Sen.-D-MI]","Warren, Elizabeth [Sen.-D-MA]","Feinstein, Dianne [Sen.-D-CA]","Sanders, Bernard [Sen.-I-VT]","Gillibrand, Kirsten E. [Sen.-D-NY]","Leahy, Patrick J. [Sen.-D-VT]","Menendez, Robert [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Social work, volunteer service, charitable organizations",Massachusetts,"Museums, exhibitions, cultural centers","Presidents and presidential powers, Vice Presidents",Currency,Libraries and archives,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1569,https://www.congress.gov/bill/115th-congress/senate-bill/1569,115th Congress (2017-2018),A bill to amend the Public Health Service Act to eliminate the non-application of certain State waiver provisions to Members of Congress and congressional staff.,,"Cruz, Ted [Sen.-R-TX]",,7/17/17,0,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,7/17/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health care coverage and access,Health care costs and insurance,Health,"Government employee pay, benefits, personnel management",Congressional officers and employees,Members of Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1570,https://www.congress.gov/bill/115th-congress/senate-bill/1570,115th Congress (2017-2018),LGBT Data Inclusion Act,,"Baldwin, Tammy [Sen.-D-WI]",,7/17/17,16,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,7/17/17,"Feinstein, Dianne [Sen.-D-CA]","Durbin, Richard J. [Sen.-D-IL]","Klobuchar, Amy [Sen.-D-MN]","Merkley, Jeff [Sen.-D-OR]","Hirono, Mazie K. [Sen.-D-HI]","Cortez Masto, Catherine [Sen.-D-NV]","Carper, Thomas R. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Franken, Al [Sen.-D-MN]","Wyden, Ron [Sen.-D-OR]","Schumer, Charles E. [Sen.-D-NY]","Murray, Patty [Sen.-D-WA]","Whitehouse, Sheldon [Sen.-D-RI]","Gillibrand, Kirsten E. [Sen.-D-NY]","Markey, Edward J. [Sen.-D-MA]","Murphy, Christopher [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sex, gender, sexual orientation discrimination",Right of privacy,Government Operations and Politics,Government information and archives,Census and government statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1571,https://www.congress.gov/bill/115th-congress/senate-bill/1571,115th Congress (2017-2018),National Flood Insurance Program Reauthorization Act of 2017,,"Crapo, Mike [Sen.-R-ID]",,7/17/17,1,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",7/17/17,"Brown, Sherrod [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1572,https://www.congress.gov/bill/115th-congress/senate-bill/1572,115th Congress (2017-2018),Helium Extraction Act of 2017,,"Hatch, Orrin G. [Sen.-R-UT]",,7/18/17,1,,,Senate - Energy and Natural Resources,"Committee on Energy and Natural Resources Subcommittee on Public Lands, Forests, and Mining. Hearings held. With printed Hearing: S.Hrg. 115-528.",8/22/18,"Udall, Tom [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oil and gas,Land use and conservation,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1573,https://www.congress.gov/bill/115th-congress/senate-bill/1573,115th Congress (2017-2018),American Discovery Trail Act,,"Coons, Christopher A. [Sen.-D-DE]",,7/18/17,1,,,Senate - Energy and Natural Resources,Placed on Senate Legislative Calendar under General Orders. Calendar No. 515.,7/16/18,"Capito, Shelley Moore [Sen.-R-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,California,Colorado,Delaware,Illinois,Indiana,Iowa,Kansas,Kentucky,Maryland,Missouri,Nebraska,Nevada,Ohio,"Parks, recreation areas, trails",Travel and tourism,Utah,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1574,https://www.congress.gov/bill/115th-congress/senate-bill/1574,115th Congress (2017-2018),Vietnam Human Rights Sanctions Act of 2017,,"Cornyn, John [Sen.-R-TX]",,7/18/17,3,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations. (text of measure as introduced: CR S4057-4059),7/18/17,"Boozman, John [Sen.-R-AR]","Rubio, Marco [Sen.-R-FL]","Cassidy, Bill [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human rights,Immigration status and procedures,International Affairs,Protest and dissent,Religion,Rule of law and government transparency,Sanctions,Trade restrictions,Vietnam,Visas and passports,Detention of persons,"Criminal investigation, prosecution, interrogation",Congressional oversight,Asia,Foreign property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1575,https://www.congress.gov/bill/115th-congress/senate-bill/1575,115th Congress (2017-2018),Home Lead Safety Tax Credit Act of 2017,,"Whitehouse, Sheldon [Sen.-D-RI]",,7/18/17,3,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/18/17,"Shaheen, Jeanne [Sen.-D-NH]","Hassan, Margaret Wood [Sen.-D-NH]","Casey, Robert P., Jr. [Sen.-D-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Child health,Child safety and welfare,Income tax credits,Residential rehabilitation and home repair,Taxation,Hazardous wastes and toxic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1576,https://www.congress.gov/bill/115th-congress/senate-bill/1576,115th Congress (2017-2018),Industrial Hemp Water Rights Act,,"Bennet, Michael F. [Sen.-D-CO]",,7/18/17,6,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/18/17,"Wyden, Ron [Sen.-D-OR]","Daines, Steve [Sen.-R-MT]","Tester, Jon [Sen.-D-MT]","Merkley, Jeff [Sen.-D-OR]","Gardner, Cory [Sen.-R-CO]","Udall, Tom [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture and Food,Agricultural practices and innovations,Public contracts and procurement,Water use and supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1577,https://www.congress.gov/bill/115th-congress/senate-bill/1577,115th Congress (2017-2018),Separation of Powers Restoration Act of 2017,,"Hatch, Orrin G. [Sen.-R-UT]",,7/18/17,10,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/18/17,"Grassley, Chuck [Sen.-R-IA]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","Lee, Mike [Sen.-R-UT]","Cruz, Ted [Sen.-R-TX]","Flake, Jeff [Sen.-R-AZ]","Lankford, James [Sen.-R-OK]","Sasse, Ben [Sen.-R-NE]","Tillis, Thomas [Sen.-R-NC]","Kennedy, John [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judicial review and appeals,Government Operations and Politics,Constitution and constitutional amendments,Administrative law and regulatory procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1578,https://www.congress.gov/bill/115th-congress/senate-bill/1578,115th Congress (2017-2018),Paperwork Reduction for Farmers Act,,"Paul, Rand [Sen.-R-KY]",,7/19/17,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/19/17,"Tester, Jon [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Migrant, seasonal, agricultural labor",Livestock,Immigration status and procedures,Immigration,Fruit and vegetables,Foreign labor,Department of Labor,Administrative remedies,Visas and passports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1579,https://www.congress.gov/bill/115th-congress/senate-bill/1579,115th Congress (2017-2018),Bureau of Consumer Financial Protection Advisory Board Enhancement Act,,"Rounds, Mike [Sen.-R-SD]",,7/19/17,2,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",7/19/17,"King, Angus S., Jr. [Sen.-I-ME]","Enzi, Michael B. [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory bodies,Consumer Financial Protection Bureau,Consumer affairs,Small business,Executive agency funding and structure,Finance and Financial Sector,Financial services and investments,Consumer credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1580,https://www.congress.gov/bill/115th-congress/senate-bill/1580,115th Congress (2017-2018),Protecting Girls' Access to Education in Vulnerable Settings Act,,"Rubio, Marco [Sen.-R-FL]",,7/19/17,18,,,Senate - Foreign Relations,Became Public Law No: 115-442.,1/14/19,"Booker, Cory A. [Sen.-D-NJ]","Van Hollen, Chris [Sen.-D-MD]","Wyden, Ron [Sen.-D-OR]","Whitehouse, Sheldon [Sen.-D-RI]","Collins, Susan M. [Sen.-R-ME]","Cardin, Benjamin L. [Sen.-D-MD]","Reed, Jack [Sen.-D-RI]","Blumenthal, Richard [Sen.-D-CT]","Manchin, Joe, III [Sen.-D-WV]","Baldwin, Tammy [Sen.-D-WI]","Markey, Edward J. [Sen.-D-MA]","Coons, Christopher A. [Sen.-D-DE]","Murphy, Christopher [Sen.-D-CT]","Menendez, Robert [Sen.-D-NJ]","Merkley, Jeff [Sen.-D-OR]","Warren, Elizabeth [Sen.-D-MA]","Boozman, John [Sen.-R-AR]","Casey, Robert P., Jr. [Sen.-D-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Child safety and welfare,Conflicts and wars,Congressional oversight,Crimes against women,Elementary and secondary education,Foreign aid and international relief,Human rights,Human trafficking,International Affairs,International organizations and cooperation,Marriage and family status,"Refugees, asylum, displaced persons","Sex, gender, sexual orientation discrimination",Women's education,Assault and harassment offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1581,https://www.congress.gov/bill/115th-congress/senate-bill/1581,115th Congress (2017-2018),Manufactured Housing Community Sustainability Act of 2017,,"Shaheen, Jeanne [Sen.-D-NH]",,7/19/17,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/19/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperative and condominium housing,Taxation,Income tax credits,Business expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1582,https://www.congress.gov/bill/115th-congress/senate-bill/1582,115th Congress (2017-2018),Frederick Douglass Bicentennial Commission Act,,"Van Hollen, Chris [Sen.-D-MD]",,7/19/17,2,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S4083),7/19/17,"Cardin, Benjamin L. [Sen.-D-MD]","Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory bodies,"Civil Rights and Liberties, Minority Issues",Commemorative events and holidays,U.S. history,Government studies and investigations,Racial and ethnic relations,Congressional oversight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1583,https://www.congress.gov/bill/115th-congress/senate-bill/1583,115th Congress (2017-2018),Legislative Performance Review Act of 2017,,"Paul, Rand [Sen.-R-KY]",,7/19/17,3,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,7/19/17,"Enzi, Michael B. [Sen.-R-WY]","Lee, Mike [Sen.-R-UT]","Strange, Luther [Sen.-R-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Executive agency funding and structure,Congressional oversight,Congressional committees,Legislative rules and procedure,Budget process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1584,https://www.congress.gov/bill/115th-congress/senate-bill/1584,115th Congress (2017-2018),"A bill to amend the Ethics in Government Act of 1978 to reauthorize the Judicial Conference of the United States to redact sensitive information contained in financial disclosure reports of judicial officers and employees, and for other purposes.",,"Johnson, Ron [Sen.-R-WI]",,7/19/17,1,,,Senate - Homeland Security and Governmental Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 242.,10/16/17,"McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal officials,"Government ethics and transparency, public corruption",Government information and archives,Government Operations and Politics,Right of privacy,Judicial procedure and administration,Protection of officials,Supreme Court,Judges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
