Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 2471,https://www.congress.gov/bill/117th-congress/senate-bill/2471,117th Congress (2021-2022),Reforming Disaster Recovery Act,,"Schatz, Brian [Sen.-D-HI]",,7/26/21,7,,,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking, Housing, and Urban Affairs. Hearings held.",12/15/21,"Leahy, Patrick J. [Sen.-D-VT]","Wyden, Ron [Sen.-D-OR]","Collins, Susan M. [Sen.-R-ME]","Cassidy, Bill [Sen.-R-LA]","Young, Todd [Sen.-R-IN]","Van Hollen, Chris [Sen.-D-MD]","Tester, Jon [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing and Community Development,Housing supply and affordability,Housing and community development funding,Department of Housing and Urban Development,Government information and archives,Executive agency funding and structure,Emergency planning and evacuation,Disaster relief and insurance,Low- and moderate-income housing,Government trust funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2472,https://www.congress.gov/bill/117th-congress/senate-bill/2472,117th Congress (2021-2022),SACKLER Act,,"Blumenthal, Richard [Sen.-D-CT]",,7/26/21,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/26/21,"Warren, Elizabeth [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,Specialized courts,Bankruptcy,Judicial procedure and administration,Corporate finance and management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2473,https://www.congress.gov/bill/117th-congress/senate-bill/2473,117th Congress (2021-2022),Middle Mile Broadband Deployment Act,,"Rosen, Jacky [Sen.-D-NV]",,7/26/21,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",7/26/21,"King, Angus S., Jr. [Sen.-I-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2476,https://www.congress.gov/bill/117th-congress/senate-bill/2476,117th Congress (2021-2022),Environmental Justice Air Quality Monitoring Act of 2021,,"Markey, Edward J. [Sen.-D-MA]",,7/27/21,8,,,Senate - Environment and Public Works,Committee on Environment and Public Works. Hearings held.,7/13/22,"Blumenthal, Richard [Sen.-D-CT]","Durbin, Richard J. [Sen.-D-IL]","Sanders, Bernard [Sen.-I-VT]","Gillibrand, Kirsten E. [Sen.-D-NY]","Booker, Cory A. [Sen.-D-NJ]","Duckworth, Tammy [Sen.-D-IL]","Smith, Tina [Sen.-D-MN]","Padilla, Alex [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,Climate change and greenhouse gases,Environmental health,Employment and training programs,Congressional oversight,Community life and organization,Child health,Environmental regulatory procedures,Environmental technology,Government information and archives,Air quality,Minority health,State and local government operations,Intergovernmental relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2477,https://www.congress.gov/bill/117th-congress/senate-bill/2477,117th Congress (2021-2022),FAMILIES Act,,"Wyden, Ron [Sen.-D-OR]",,7/27/21,9,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/27/21,"Blumenthal, Richard [Sen.-D-CT]","Durbin, Richard J. [Sen.-D-IL]","Sanders, Bernard [Sen.-I-VT]","Merkley, Jeff [Sen.-D-OR]","Hirono, Mazie K. [Sen.-D-HI]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Warnock, Raphael G. [Sen.-D-GA]","Brown, Sherrod [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,Domestic violence and child abuse,Employment and training programs,Law enforcement administration and funding,Cardiovascular and respiratory health,Criminal procedure and sentencing,"Drug, alcohol, tobacco use",Elementary and secondary education,Judges,Judicial procedure and administration,Lawyers and legal services,Low- and moderate-income housing,Poverty and welfare assistance,Wages and earnings,Women's health,Child care and development,Infectious and parasitic diseases,Adult day care,Food assistance and relief,Health care costs and insurance,Higher education,"Social work, volunteer service, charitable organizations",Child safety and welfare,Family relationships,Child health,Crime victims,Department of Justice,Disability assistance,Emergency medical services and trauma care,Health care coverage and access,Mental health,Nutrition and diet,State and local government operations,Congressional oversight,Correctional facilities and imprisonment,Intergovernmental relations,Appropriations,Government studies and investigations,Disability and paralysis,Executive agency funding and structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2478,https://www.congress.gov/bill/117th-congress/senate-bill/2478,117th Congress (2021-2022),Strengthening Loan Forgiveness for Public Servants Act,,"Blumenthal, Richard [Sen.-D-CT]",,7/27/21,5,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",7/27/21,"Cardin, Benjamin L. [Sen.-D-MD]","Feinstein, Dianne [Sen.-D-CA]","Hirono, Mazie K. [Sen.-D-HI]","Warren, Elizabeth [Sen.-D-MA]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2481,https://www.congress.gov/bill/117th-congress/senate-bill/2481,117th Congress (2021-2022),Disabled Access Credit Expansion Act of 2021,,"Duckworth, Tammy [Sen.-D-IL]",,7/27/21,7,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/27/21,"Blumenthal, Richard [Sen.-D-CT]","Booker, Cory A. [Sen.-D-NJ]","Padilla, Alex [Sen.-D-CA]","Hirono, Mazie K. [Sen.-D-HI]","Casey, Robert P., Jr. [Sen.-D-PA]","Brown, Sherrod [Sen.-D-OH]","Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2482,https://www.congress.gov/bill/117th-congress/senate-bill/2482,117th Congress (2021-2022),Champlain Valley National Heritage Partnership Reauthorization Act,,"Leahy, Patrick J. [Sen.-D-VT]",,7/27/21,3,,,Senate - Energy and Natural Resources,Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held.,10/6/21,"Schumer, Charles E. [Sen.-D-NY]","Gillibrand, Kirsten E. [Sen.-D-NY]","Sanders, Bernard [Sen.-I-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Lakes and rivers,Historic sites and heritage areas,New York State,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2483,https://www.congress.gov/bill/117th-congress/senate-bill/2483,117th Congress (2021-2022),"Improving Cybersecurity of Small Businesses, Nonprofits, and Local Governments Act of 2021",,"Rosen, Jacky [Sen.-D-NV]",,7/27/21,3,,,Senate - Homeland Security and Governmental Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 573.,12/5/22,"Hassan, Margaret Wood [Sen.-D-NH]","Cornyn, John [Sen.-R-TX]","Ossoff, Jon [Sen.-D-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",Congressional oversight,Computers and information technology,Computer security and identity theft,Government information and archives,Small business,Intergovernmental relations,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2485,https://www.congress.gov/bill/117th-congress/senate-bill/2485,117th Congress (2021-2022),Territory Economic Development Tax Credit Act,,"Menendez, Robert [Sen.-D-NJ]",,7/27/21,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,7/27/21,"Wicker, Roger F. [Sen.-R-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Virgin Islands,Wages and earnings,Corporate finance and management,Income tax credits,Business investment and capital,Employee benefits and pensions,Puerto Rico,Foreign and international corporations,U.S. territories and protectorates,Caribbean area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2486,https://www.congress.gov/bill/117th-congress/senate-bill/2486,117th Congress (2021-2022),Make Taxpayer-Funded Department of Defense Medical Interventions Affordable Act,,"Warren, Elizabeth [Sen.-D-MA]",,7/27/21,0,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,7/27/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2493,https://www.congress.gov/bill/117th-congress/senate-bill/2493,117th Congress (2021-2022),Provider Relief Fund Deadline Extension Act,,"Bennet, Michael F. [Sen.-D-CO]",,7/28/21,13,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",7/28/21,"Grassley, Chuck [Sen.-R-IA]","Ernst, Joni [Sen.-R-IA]","Cramer, Kevin [Sen.-R-ND]","Brown, Sherrod [Sen.-D-OH]","Marshall, Roger [Sen.-R-KS]","Menendez, Robert [Sen.-D-NJ]","Klobuchar, Amy [Sen.-D-MN]","Smith, Tina [Sen.-D-MN]","Moran, Jerry [Sen.-R-KS]","Ossoff, Jon [Sen.-D-GA]","Tester, Jon [Sen.-D-MT]","Boozman, John [Sen.-R-AR]","Hawley, Josh [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Government information and archives,Emergency medical services and trauma care,Infectious and parasitic diseases,Health programs administration and funding,Cardiovascular and respiratory health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2496,https://www.congress.gov/bill/117th-congress/senate-bill/2496,117th Congress (2021-2022),Vulnerable Road Users Safety Act,,"Schatz, Brian [Sen.-D-HI]",,7/28/21,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",7/28/21,"Casey, Robert P., Jr. [Sen.-D-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2497,https://www.congress.gov/bill/117th-congress/senate-bill/2497,117th Congress (2021-2022),Nondebtor Release Prohibition Act of 2021,,"Warren, Elizabeth [Sen.-D-MA]",,7/28/21,4,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/28/21,"Sanders, Bernard [Sen.-I-VT]","Durbin, Richard J. [Sen.-D-IL]","Blumenthal, Richard [Sen.-D-CT]","Booker, Cory A. [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,Jurisdiction and venue,Judicial review and appeals,Federal appellate courts,Corporate finance and management,Civil actions and liability,Bankruptcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2498,https://www.congress.gov/bill/117th-congress/senate-bill/2498,117th Congress (2021-2022),Protecting Miranda Rights for Kids Act,,"Booker, Cory A. [Sen.-D-NJ]",,7/28/21,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/28/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,Lawyers and legal services,Detention of persons,Child safety and welfare,Family relationships,Juvenile crime and gang violence,Evidence and witnesses,"Criminal investigation, prosecution, interrogation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2501,https://www.congress.gov/bill/117th-congress/senate-bill/2501,117th Congress (2021-2022),Offshore Wind Jobs and Opportunity Act,,"Markey, Edward J. [Sen.-D-MA]",,7/28/21,5,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,7/28/21,"Kaine, Tim [Sen.-D-VA]","Carper, Thomas R. [Sen.-D-DE]","Cardin, Benjamin L. [Sen.-D-MD]","Whitehouse, Sheldon [Sen.-D-RI]","Van Hollen, Chris [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2502,https://www.congress.gov/bill/117th-congress/senate-bill/2502,117th Congress (2021-2022),Kenneth P. Thompson Begin Again Act,,"Coons, Christopher A. [Sen.-D-DE]",,7/28/21,4,,,Senate - Judiciary,Placed on Senate Legislative Calendar under General Orders. Calendar No. 183.,12/13/21,"Hirono, Mazie K. [Sen.-D-HI]","Durbin, Richard J. [Sen.-D-IL]","Cornyn, John [Sen.-R-TX]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug trafficking and controlled substances,Criminal procedure and sentencing,Criminal justice information and records,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2503,https://www.congress.gov/bill/117th-congress/senate-bill/2503,117th Congress (2021-2022),Community-Based Gang Intervention Act,,"Booker, Cory A. [Sen.-D-NJ]",,7/28/21,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/28/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2504,https://www.congress.gov/bill/117th-congress/senate-bill/2504,117th Congress (2021-2022),Exercise and Fitness for All Act of 2021,,"Duckworth, Tammy [Sen.-D-IL]",,7/28/21,3,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",7/28/21,"Blumenthal, Richard [Sen.-D-CT]","Feinstein, Dianne [Sen.-D-CA]","Casey, Robert P., Jr. [Sen.-D-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2507,https://www.congress.gov/bill/117th-congress/senate-bill/2507,117th Congress (2021-2022),Eliminating Debtor’s Prison for Kids Act of 2021,,"Booker, Cory A. [Sen.-D-NJ]",,7/28/21,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,7/28/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,Legal fees and court costs,Congressional oversight,Adoption and foster care,State and local government operations,Homelessness and emergency shelter,Law enforcement administration and funding,Criminal procedure and sentencing,"Drug, alcohol, tobacco use",Elementary and secondary education,Judicial procedure and administration,Correctional facilities and imprisonment,Criminal justice information and records,State and local finance,Detention of persons,Juvenile crime and gang violence,Child health,Mental health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2508,https://www.congress.gov/bill/117th-congress/senate-bill/2508,117th Congress (2021-2022),Veterans and Consumers Fair Credit Act,,"Reed, Jack [Sen.-D-RI]",,7/28/21,14,,,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking, Housing, and Urban Affairs. Hearings held.",9/13/22,"Lujan, Ben Ray [Sen.-D-NM]","Leahy, Patrick J. [Sen.-D-VT]","Feinstein, Dianne [Sen.-D-CA]","Wyden, Ron [Sen.-D-OR]","Brown, Sherrod [Sen.-D-OH]","Merkley, Jeff [Sen.-D-OR]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Booker, Cory A. [Sen.-D-NJ]","Van Hollen, Chris [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]","Warnock, Raphael G. [Sen.-D-GA]","Stabenow, Debbie [Sen.-D-MI]","Whitehouse, Sheldon [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,Administrative law and regulatory procedures,Banking and financial institutions regulation,Civil actions and liability,Congressional oversight,Consumer Financial Protection Bureau,Consumer affairs,State and local government operations,Department of Defense,Consumer credit,Financial services and investments,Government information and archives,"Interest, dividends, interest rates",Military personnel and dependents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2509,https://www.congress.gov/bill/117th-congress/senate-bill/2509,117th Congress (2021-2022),New Partnerships Initiative Authorization Act,,"Kaine, Tim [Sen.-D-VA]",,7/28/21,2,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations. (Sponsor introductory remarks on measure: CR S5143-5144),7/28/21,"Graham, Lindsey [Sen.-R-SC]","Rubio, Marco [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2510,https://www.congress.gov/bill/117th-congress/senate-bill/2510,117th Congress (2021-2022),Preventing HEAT Illness and Deaths Act of 2021,,"Markey, Edward J. [Sen.-D-MA]",,7/28/21,6,,,"Senate - Commerce, Science, and Transportation",Placed on Senate Legislative Calendar under General Orders. Calendar No. 624.,12/12/22,"Warnock, Raphael G. [Sen.-D-GA]","Booker, Cory A. [Sen.-D-NJ]","Padilla, Alex [Sen.-D-CA]","Rosen, Jacky [Sen.-D-NV]","Feinstein, Dianne [Sen.-D-CA]","Sinema, Kyrsten [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Urban and suburban affairs and development,Poverty and welfare assistance,Foreign language and bilingual programs,Executive Office of the President,Building construction,Energy prices,Elementary and secondary education,Educational facilities and institutions,Correctional facilities and imprisonment,Executive agency funding and structure,Infectious and parasitic diseases,Minority health,"Lighting, heating, cooling",Atmospheric science and weather,Government information and archives,Emergency medical services and trauma care,Public utilities and utility rates,Worker safety and health,Aging,Congressional oversight,Energy efficiency and conservation,"Forests, forestry, trees",Cardiovascular and respiratory health,Health promotion and preventive care,Medical research,Air quality,Health programs administration and funding,Health information and medical records,Government studies and investigations,Environmental health,Climate change and greenhouse gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
